game_symbol, game_name
Stash_No_Loot_Left_Behind, Stash No Loot Left Behind
How_to_Survive, How to Survive
Digimon_Story_Cyber_Sleuth, Digimon Story Cyber Sleuth
Octodad_Dadliest_Catch, Octodad Dadliest Catch
Spider_Rite_of_the_Shrouded_Moon, Spider Rite of the Shrouded Moon
Qbert, Qbert
Red_Ash_The_Indelible_Legend, Red Ash The Indelible Legend
Tembo_the_Badass_Elephant, Tembo the Badass Elephant
Gods_Eater_Burst, Gods Eater Burst
The_Park, The Park
Jamestown_Legend_of_the_Lost_Colony, Jamestown Legend of the Lost Colony
Crazy_Climber, Crazy Climber
Broforce, Broforce
Metal_Gear_Solid_V_The_Phantom_Pain, Metal Gear Solid V The Phantom Pain
